date,depth_m,temp_c_at_depth,Chlorophyll_ugl,conductivity_mscm,temp_c,turbidity_ftu,salinity_psu,heading,pitch,roll,location
2013-09-11 23:00:01,,,1.51,,,,,,,,node1
2013-09-12 00:00:00,,,1.52,36.06,7.73,,34.98,292.1,1.42,58.6,node1
2013-09-12 00:00:01,255.19,7.54,,,,,,,,,node1
2013-09-12 01:00:00,,,2.27,36.05,7.7,,34.99,291.6,1.43,58.63,node1
2013-09-12 01:00:01,255.51,7.53,,,,,,,,,node1
2013-09-12 02:00:00,,,1.51,36.05,7.67,,35.02,291.1,1.43,58.65,node1
2013-09-12 02:00:01,255.81,7.53,,,,,,,,,node1
2013-09-12 03:00:00,,,1.29,,,,,291.0,1.43,58.66,node1
2013-09-12 03:00:01,256.0,7.53,,,,,,,,,node1
2013-09-12 03:00:02,,,,36.03,7.66,,35.01,,,,node1
2013-09-12 04:00:00,,,,,,,,289.2,1.44,58.68,node1
2013-09-12 04:00:01,256.06,7.52,1.41,,,,,,,,node1
2013-09-12 04:00:02,,,,36.0,7.63,,35.01,,,,node1
2013-09-12 05:00:00,,,,,,,,289.8,1.44,58.66,node1
2013-09-12 05:00:01,255.93,7.54,1.43,,,,,,,,node1
2013-09-12 05:00:02,,,,36.01,7.66,,34.99,,,,node1
2013-09-12 06:00:00,,,,,,,,289.8,1.4,58.68,node1
2013-09-12 06:00:01,255.69,7.54,2.0,,,,,,,,node1
2013-09-12 06:00:02,,,,36.01,7.64,,35.01,,,,node1
2013-09-12 07:00:00,,,1.57,,,,,290.3,1.42,58.63,node1
2013-09-12 07:00:01,255.39,7.53,,,,,,,,,node1
2013-09-12 07:00:02,,,,36.02,7.64,,35.02,,,,node1
2013-09-12 08:00:00,,,1.41,,,,,289.9,1.42,58.68,node1
2013-09-12 08:00:01,255.09,7.54,,,,,,,,,node1
2013-09-12 08:00:02,,,,36.05,7.66,,35.03,,,,node1
2013-09-12 09:00:00,,,1.71,,,,,290.4,1.43,58.65,node1
2013-09-12 09:00:01,254.87,7.55,,,,,,,,,node1
2013-09-12 09:00:02,,,,36.03,7.67,,35.0,,,,node1
2013-09-12 10:00:00,,,1.47,,,,,289.9,1.41,58.67,node1
2013-09-12 10:00:01,254.77,7.59,,,,,,,,,node1
2013-09-12 10:00:02,,,,36.07,7.72,,35.0,,,,node1
2013-09-12 11:00:00,,,1.43,,,,,290.5,1.43,58.63,node1
2013-09-12 11:00:01,254.84,7.59,,,,,,,,,node1
2013-09-12 11:00:02,,,,36.07,7.72,,35.0,,,,node1
2013-09-12 12:00:00,,,,,,,,290.0,1.44,58.66,node1
2013-09-12 12:00:01,,,1.57,,,,,,,,node1
2013-09-12 12:00:02,255.03,7.59,,36.07,7.72,,35.0,,,,node1
2013-09-12 13:00:00,,,,,,,,290.5,1.43,58.66,node1
2013-09-12 13:00:01,,,1.66,,,,,,,,node1
2013-09-12 13:00:02,255.31,7.6,,36.07,7.74,,34.98,,,,node1
2013-09-12 14:00:00,,,,,,,,290.1,1.41,58.68,node1
2013-09-12 14:00:01,,,1.49,,,,,,,,node1
2013-09-12 14:00:02,255.6,7.61,,36.07,7.74,,34.98,,,,node1
2013-09-12 15:00:00,,,,,,,,290.5,1.42,58.64,node1
2013-09-12 15:00:01,,,1.56,,,,,,,,node1
2013-09-12 15:00:02,255.83,7.6,,36.07,7.76,,34.96,,,,node1
2013-09-12 16:00:00,255.94,7.61,1.54,,,,,290.1,1.41,58.67,node1
2013-09-12 16:00:02,,,,36.11,7.78,,34.98,,,,node1
2013-09-12 17:00:00,255.92,7.6,1.38,,,,,290.6,1.38,58.65,node1
2013-09-12 17:00:02,,,,36.06,7.76,,34.95,,,,node1
2013-09-12 18:00:00,255.77,7.6,1.55,,,,,290.1,1.41,58.66,node1
2013-09-12 18:00:02,,,,36.04,7.76,,34.92,,,,node1
2013-09-12 19:00:00,255.52,7.59,1.47,,,,,290.5,1.4,58.65,node1
2013-09-12 19:00:02,,,,36.04,7.73,,34.95,,,,node1
2013-09-12 20:00:00,,,,,,,,290.1,1.4,58.67,node1
2013-09-12 20:00:01,255.25,7.59,1.65,,,,,,,,node1
2013-09-12 20:00:02,,,,36.04,7.75,,34.93,,,,node1
2013-09-12 21:00:00,,,,,,,,290.4,1.42,58.64,node1
2013-09-12 21:00:01,255.01,7.59,1.44,,,,,,,,node1
2013-09-12 21:00:02,,,,36.04,7.74,,34.94,,,,node1
2013-09-12 22:00:00,,,,,,,,290.3,1.41,58.63,node1
2013-09-12 22:00:01,254.87,7.59,1.46,,,,,,,,node1
2013-09-12 22:00:02,,,,36.02,7.75,,34.91,,,,node1
2013-09-12 23:00:00,,,,,,,,289.9,1.4,58.68,node1
2013-09-12 23:00:01,254.85,7.61,1.97,,,,,,,,node1
2013-09-12 23:00:02,,,,36.04,7.8,,34.88,,,,node1
2013-09-13 00:00:00,,,1.66,,,,,290.1,1.41,58.66,node1
2013-09-13 00:00:01,254.96,7.59,,,,,,,,,node1
2013-09-13 00:00:02,,,,36.03,7.73,,34.94,,,,node1
2013-09-13 01:00:00,,,5.46,,,,,289.9,1.38,58.67,node1
2013-09-13 01:00:01,255.18,7.6,,,,,,,,,node1
2013-09-13 01:00:02,,,,36.03,7.78,,34.89,,,,node1
2013-09-13 02:00:00,,,1.55,,,,,290.2,1.42,58.68,node1
